n,ts_utc,side,entry,sl,tp1,tp2,tp3,outcome
1,2026-06-05T12:26:00Z,SELL,4467.0,4477.0,4462.0,4457.0,4452.0,ALL
2,2026-06-05T09:40:00Z,SELL,4465.0,4475.0,4460.0,4455.0,4450.0,SL
3,2026-06-05T02:44:00Z,BUY,4438.0,4428.0,4443.0,4448.0,4453.0,ALL
4,2026-06-04T14:52:00Z,BUY,4462.0,4452.0,4468.0,4472.0,4477.0,ALL
5,2026-06-04T12:00:00Z,SELL,4514.0,4524.0,4509.0,4504.0,4499.0,ALL
6,2026-06-04T05:27:00Z,SELL,4473.0,4483.0,4468.0,4463.0,4458.0,ALL
7,2026-06-03T08:13:00Z,BUY,4455.0,4445.0,4460.0,4465.0,4470.0,TP2
8,2026-06-03T04:59:00Z,BUY,4468.0,4458.0,4473.0,4478.0,4483.0,TP1
9,2026-06-02T14:27:00Z,BUY,4492.0,4482.0,4497.0,4502.0,4507.0,ALL
10,2026-06-02T13:48:00Z,BUY,4506.0,4496.0,4511.0,4516.0,4521.0,SL
11,2026-06-02T07:04:00Z,SELL,4537.0,4547.0,4532.0,4527.0,4522.0,ALL
12,2026-06-02T05:34:00Z,SELL,4526.0,4536.0,4521.0,4516.0,4511.0,TP1
13,2026-06-01T14:41:00Z,BUY,4455.0,4445.0,4460.0,4465.0,4470.0,ALL
14,2026-06-01T13:43:00Z,BUY,4465.0,4455.0,4470.0,4475.0,4480.0,ALL
15,2026-06-01T07:05:00Z,BUY,4501.0,4491.0,4506.0,4511.0,4516.0,TP1
16,2026-06-01T03:46:00Z,BUY,4510.0,4500.0,4515.0,4520.0,4525.0,ALL
17,2026-05-29T11:13:00Z,SELL,4536.0,4546.0,4531.0,4526.0,4521.0,ALL
18,2026-05-29T07:05:00Z,SELL,4522.0,4532.0,4517.0,4512.0,4507.0,TP2
19,2026-05-29T03:05:00Z,BUY,4499.0,4489.0,4504.0,4509.0,4514.0,ALL
20,2026-05-28T10:37:00Z,SELL,4400.0,4410.0,4395.0,4390.0,4385.0,ALL
21,2026-05-28T04:31:00Z,BUY,4368.0,4358.0,4373.0,4378.0,4383.0,ALL
22,2026-06-28T03:25:00Z,BUY,4383.0,4373.0,4388.0,4393.0,4398.0,TP1
23,2026-06-28T02:48:00Z,BUY,4394.0,4384.0,4399.0,4404.0,4409.0,SL
24,2026-05-27T13:12:00Z,BUY,4412.0,4402.0,4417.0,4422.0,4427.0,ALL
25,2026-05-27T10:56:00Z,BUY,4443.0,4435.0,4448.0,4453.0,4458.0,ALL
26,2026-05-27T10:08:00Z,BUY,4485.0,4475.0,4490.0,4495.0,4500.0,SL
27,2026-05-27T05:52:00Z,BUY,4493.0,4483.0,4498.0,4503.0,4508.0,TP1
28,2026-05-27T02:21:00Z,BUY,4499.0,4489.0,4504.0,4509.0,4514.0,ALL
29,2026-05-26T12:02:00Z,BUY,4504.0,4494.0,4509.0,4514.0,4519.0,ALL
30,2026-05-26T10:38:00Z,SELL,4538.0,4548.0,4533.0,4528.0,4523.0,ALL
31,2026-05-26T07:24:00Z,BUY,4525.0,4515.0,4530.0,4535.0,4540.0,TP1
32,2026-05-26T02:35:00Z,BUY,4534.0,4524.0,4539.0,4544.0,4549.0,TP2
