Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-03-27,1.2200626134872437,0.028957264988000594,0.013261737064026311,29.636585981357353,21.634900078437486,22.273736749684822,Bear,Volatile,Bear Volatile,proceed,active
2020-03-30,1.245319128036499,0.028793512766480466,0.013675875980338361,27.779540384104934,22.370930608337527,20.800380908561912,Bull,Volatile,Bull Volatile,proceed,active
2020-03-31,1.2371643781661987,0.028180193816193532,0.014076722473108469,25.822454408638333,21.22511455973599,21.06427248892465,Bull,Volatile,Bull Volatile,proceed,active
2020-04-01,1.2408487796783447,0.026905969132226967,0.014443114210640255,24.0051602885622,20.642424067480388,20.485997574505046,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-02,1.238236665725708,0.025773977916875725,0.014784300875321262,22.449403948097668,20.761809037168074,19.858188147536094,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-03,1.2394952774047852,0.025266565301497082,0.015113400218849951,21.401599196793775,19.66598720564781,22.984232947709707,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-06,1.2220158576965332,0.024762579829936293,0.01543522315178261,20.42863764201159,18.632940145147007,21.77687966123557,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-07,1.2240501642227173,0.024152453272739044,0.015744244995856072,19.213148476863083,19.364205096660047,20.732210319514483,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-08,1.2338672876358032,0.023695409431314672,0.01604671575206158,17.880943979800257,19.40322654819152,19.622663476062073,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-09,1.23931086063385,0.0229781143541372,0.016328634923774062,16.88963665775392,20.35673812949669,18.789840921850352,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-10,1.2454850673675537,0.022015589651451725,0.016579124826690612,16.04413047252582,20.148641909512353,18.2105257587259,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-13,1.2461059093475342,0.021003901695979554,0.0167969355328107,15.527392516467467,21.148909648504223,17.72426138172001,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-14,1.2523951530456543,0.020644949771467275,0.016988060825367156,15.54348972121815,23.00621760301976,16.74440072897256,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-15,1.26262629032135,0.020506791392078325,0.017176343187894988,15.042660407746682,21.506842611107025,18.12546218884031,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-16,1.252097249031067,0.020555748652023517,0.017365931344009964,14.388553633464053,19.923075851382407,17.70840112567769,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-17,1.2487823963165283,0.019905520580909917,0.01754446998491939,13.738544836275738,19.104314708111147,17.185170513233285,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-20,1.248751163482666,0.019007792808834252,0.01771014040305198,13.134965238886588,18.577558217470607,16.711329904505945,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-21,1.2442762851715088,0.0192504014001649,0.017884997053317905,12.9523622010688,17.03318436983443,21.063221294517326,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-22,1.2298610210418701,0.019066792943241328,0.018060642835912594,12.782802237380853,15.968837563519239,19.74705093971082,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-23,1.2323921918869019,0.018541438865953094,0.018222854892868894,12.344876076814746,16.504000356962866,18.856095970370507,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-04-24,1.235223650932312,0.017749745600834792,0.01836902109540419,12.013178692986882,16.008691726274417,18.680115896726505,Sideways,Quiet,Sideways Quiet,proceed,active
2020-04-27,1.2366595268249512,0.01720711634232877,0.01851229127023895,11.300212067401,18.634940126074465,17.892825265430325,Sideways,Quiet,Sideways Quiet,proceed,active
2020-04-28,1.2422668933868408,0.01706281559365535,0.018655533198136398,11.151603684070604,20.158627257992233,16.75527790026694,Sideways,Quiet,Sideways Quiet,proceed,active
2020-04-29,1.2435646057128906,0.01652808298459229,0.018788852993011335,10.87126059874433,19.324331710307995,16.719514831956037,Sideways,Quiet,Sideways Quiet,proceed,active
2020-04-30,1.2471472024917603,0.016831976336579596,0.018920807777677132,11.695085690764252,24.04861450776574,15.244962496318129,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-01,1.2581465244293213,0.016411969215418185,0.019045086531755753,12.460066133354179,22.902336725449633,14.518310996451943,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-04,1.2454230785369873,0.01648953549632634,0.01917523987065657,12.218205633664004,21.166418761152595,17.64469121441868,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-05,1.244555115699768,0.015726985607402433,0.019289917414118674,12.082289378418547,21.130529875050055,17.178779754498898,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-06,1.2444202899932861,0.015406776536088601,0.019398545895409566,11.249339051630907,20.029006622798317,20.198357713458925,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-07,1.232559323310852,0.015551033324539549,0.019504191234501752,11.028112428185228,18.425838412544287,21.6966939869039,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-08,1.237593173980713,0.015425612187457832,0.019598505923599234,10.383490948460365,19.512907328735228,20.310738921880297,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-11,1.2417423725128174,0.01540981343310119,0.019686806598082397,10.363553106665881,18.13770468560193,22.21509756447735,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-12,1.2333498001098633,0.01522902501620958,0.019776106418887617,10.345039396428145,17.042092719846806,20.873189801948847,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-13,1.2254902124404907,0.01496625946318495,0.01986425858468938,10.851749786619273,16.10263950706638,22.90521299955824,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-14,1.224155068397522,0.014511866997125632,0.019940552202367123,11.707861204697412,15.420638907769609,24.548519336370966,Sideways,Quiet,Sideways Quiet,proceed,active
